,date,sp_close,dj_close
1062,2018-11-28,2743.79,25366.43
1063,2018-11-29,2737.76,25338.84
1064,2018-11-30,2760.17,25538.46
1065,2018-12-01,2760.17,25538.46
1066,2018-12-02,2760.17,25538.46
1067,2018-12-03,2790.37,25826.43
1068,2018-12-04,2700.06,25027.07
1069,2018-12-05,2700.06,25027.07
1070,2018-12-06,2695.95,24947.67
1071,2018-12-07,2633.08,24388.95
1072,2018-12-08,2633.08,24388.95
1073,2018-12-09,2633.08,24388.95
1074,2018-12-10,2637.72,24423.26
1075,2018-12-11,2636.78,24370.24
1076,2018-12-12,2651.07,24527.27
1077,2018-12-13,2650.54,24597.38
1078,2018-12-14,2599.95,24100.51
1079,2018-12-15,2599.95,24100.51
1080,2018-12-16,2599.95,24100.51
1081,2018-12-17,2545.94,23592.98
1082,2018-12-18,2546.16,23675.64
1083,2018-12-19,2506.96,23323.66
1084,2018-12-20,2467.42,22859.6
1085,2018-12-21,2416.62,22445.37
1086,2018-12-22,2416.62,22445.37
1087,2018-12-23,2416.62,22445.37
1088,2018-12-24,2351.1,21792.2
1089,2018-12-25,2351.1,21792.2
1090,2018-12-26,2467.7,22878.45
1091,2018-12-27,2488.83,23138.82
1092,2018-12-28,2485.74,23062.4
1093,2018-12-29,2485.74,23062.4
1094,2018-12-30,2485.74,23062.4
1095,2018-12-31,2506.85,23327.46
1096,2019-01-01,2506.85,23327.46
1097,2019-01-02,2510.03,23346.24
1098,2019-01-03,2447.89,22686.22
1099,2019-01-04,2531.94,23433.16
1100,2019-01-05,2531.94,23433.16
1101,2019-01-06,2531.94,23433.16
1102,2019-01-07,2549.69,23531.35
1103,2019-01-08,2574.41,23787.45
1104,2019-01-09,2584.96,23879.12
1105,2019-01-10,2596.64,24001.92
1106,2019-01-11,2596.26,23995.95
1107,2019-01-12,2596.26,23995.95
1108,2019-01-13,2596.26,23995.95
1109,2019-01-14,2582.61,23909.84
1110,2019-01-15,2610.3,24065.59
1111,2019-01-16,2616.1,24207.16
1112,2019-01-17,2635.96,24370.1
1113,2019-01-18,2670.71,24706.35
1114,2019-01-19,2670.71,24706.35
1115,2019-01-20,2670.71,24706.35
1116,2019-01-21,2670.71,24706.35
1117,2019-01-22,2632.9,24404.48
1118,2019-01-23,2638.7,24575.62
1119,2019-01-24,2642.33,24553.24
1120,2019-01-25,2664.76,24737.2
1121,2019-01-26,2664.76,24737.2
1122,2019-01-27,2664.76,24737.2
1123,2019-01-28,2643.85,24528.22
1124,2019-01-29,2640.0,24579.96
1125,2019-01-30,2681.05,25014.86
1126,2019-01-31,2704.1,24999.67
1127,2019-02-01,2706.53,25063.89
1128,2019-02-02,2706.53,25063.89
1129,2019-02-03,2706.53,25063.89
1130,2019-02-04,2724.87,25239.37
1131,2019-02-05,2737.7,25411.52
1132,2019-02-06,2731.61,25390.3
1133,2019-02-07,2706.05,25169.53
1134,2019-02-08,2707.88,25106.33
1135,2019-02-09,2707.88,25106.33
1136,2019-02-10,2707.88,25106.33
1137,2019-02-11,2709.8,25053.11
1138,2019-02-12,2744.73,25425.76
1139,2019-02-13,2753.03,25543.27
1140,2019-02-14,2745.73,25439.39
1141,2019-02-15,2775.6,25883.25
1142,2019-02-16,2775.6,25883.25
1143,2019-02-17,2775.6,25883.25
1144,2019-02-18,2775.6,25883.25
1145,2019-02-19,2779.76,25891.32
1146,2019-02-20,2784.7,25954.44
1147,2019-02-21,2774.88,25850.63
1148,2019-02-22,2792.67,26031.81
1149,2019-02-23,2792.67,26031.81
1150,2019-02-24,2792.67,26031.81
1151,2019-02-25,2796.11,26091.95
1152,2019-02-26,2793.9,26057.98
1153,2019-02-27,2792.38,25985.16
1154,2019-02-28,2784.49,25916.0
1155,2019-03-01,2803.69,26026.32
1156,2019-03-02,2803.69,26026.32
1157,2019-03-03,2803.69,26026.32
1158,2019-03-04,2792.81,25819.65
1159,2019-03-05,2789.65,25806.63
1160,2019-03-06,2771.45,25673.46
1161,2019-03-07,2748.93,25473.23
1162,2019-03-08,2743.07,25450.24
1163,2019-03-09,2743.07,25450.24
1164,2019-03-10,2743.07,25450.24
1165,2019-03-11,2783.3,25650.88
1166,2019-03-12,2791.52,25554.66
1167,2019-03-13,2810.92,25702.89
1168,2019-03-14,2808.48,25709.94
1169,2019-03-15,2822.48,25848.87
1170,2019-03-16,2822.48,25848.87
1171,2019-03-17,2822.48,25848.87
1172,2019-03-18,2832.94,25914.1
1173,2019-03-19,2832.57,25887.38
1174,2019-03-20,2824.23,25745.67
1175,2019-03-21,2854.88,25962.51
1176,2019-03-22,2800.71,25502.32
1177,2019-03-23,2800.71,25502.32
1178,2019-03-24,2800.71,25502.32
1179,2019-03-25,2798.36,25516.83
1180,2019-03-26,2818.46,25657.73
1181,2019-03-27,2805.37,25625.59
1182,2019-03-28,2815.44,25717.46
1183,2019-03-29,2834.4,25928.68
1184,2019-03-30,2834.4,25928.68
1185,2019-03-31,2834.4,25928.68
1186,2019-04-01,2867.19,26258.42
1187,2019-04-02,2867.24,26179.13
1188,2019-04-03,2873.4,26218.13
1189,2019-04-04,2879.39,26384.63
1190,2019-04-05,2892.74,26424.99
1191,2019-04-06,2892.74,26424.99
1192,2019-04-07,2892.74,26424.99
1193,2019-04-08,2895.77,26341.02
1194,2019-04-09,2878.2,26150.58
1195,2019-04-10,2888.21,26157.16
1196,2019-04-11,2888.32,26143.05
1197,2019-04-12,2907.41,26412.3
1198,2019-04-13,2907.41,26412.3
1199,2019-04-14,2907.41,26412.3
1200,2019-04-15,2905.58,26384.77
